batter,pitcher,stand,p_throws,events,description,player_AVG,player_OBP,player_SLG,player_PA
680776,686752,L,R,,foul_tip,0.285,0.342,0.492,735
680776,669358,L,R,strikeout,swinging_strike,0.285,0.342,0.492,735
680776,669358,L,R,,foul,0.285,0.342,0.492,735
680776,669358,L,R,,foul,0.285,0.342,0.492,735
680776,669358,L,R,,foul,0.285,0.342,0.492,735
680776,669358,L,R,,foul_tip,0.285,0.342,0.492,735
680776,669358,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,669358,L,R,,foul_tip,0.285,0.342,0.492,735
680776,664076,L,L,strikeout,swinging_strike,0.285,0.342,0.492,735
680776,664076,L,L,,foul,0.285,0.342,0.492,735
680776,664076,L,L,,swinging_strike,0.285,0.342,0.492,735
680776,664076,L,L,,ball,0.285,0.342,0.492,735
680776,664076,L,L,,swinging_strike,0.285,0.342,0.492,735
680776,664076,L,L,,ball,0.285,0.342,0.492,735
680776,669358,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,669358,L,R,,ball,0.285,0.342,0.492,735
680776,669358,L,R,,foul,0.285,0.342,0.492,735
680776,669358,L,R,,ball,0.285,0.342,0.492,735
680776,669358,L,R,,foul,0.285,0.342,0.492,735
680776,669358,L,R,,foul,0.285,0.342,0.492,735
680776,607074,L,L,single,hit_into_play,0.285,0.342,0.492,735
680776,607074,L,L,,called_strike,0.285,0.342,0.492,735
680776,607074,L,L,,ball,0.285,0.342,0.492,735
680776,607074,L,L,,ball,0.285,0.342,0.492,735
680776,607074,L,L,,ball,0.285,0.342,0.492,735
680776,607074,L,L,field_out,hit_into_play,0.285,0.342,0.492,735
680776,607074,L,L,,foul,0.285,0.342,0.492,735
680776,607074,L,L,,swinging_strike,0.285,0.342,0.492,735
680776,607074,L,L,,called_strike,0.285,0.342,0.492,735
680776,607074,L,L,,ball,0.285,0.342,0.492,735
680776,607074,L,L,,ball,0.285,0.342,0.492,735
680776,607074,L,L,,ball,0.285,0.342,0.492,735
680776,592454,L,R,grounded_into_double_play,hit_into_play,0.285,0.342,0.492,735
680776,657612,L,L,grounded_into_double_play,hit_into_play,0.285,0.342,0.492,735
680776,592454,L,R,,ball,0.285,0.342,0.492,735
