player_AVG,player_OBP,player_SLG,player_PA,ERA,WHIP,SO9,SO/W,HR,BB,H,IP,BAbip,is_hit,stand_R,p_throws_R,description_encoded
0.285,0.342,0.492,735,5.2,1.431,7.8,2.03,12,34,80,79.2,0.291,0,0,0,0
0.285,0.342,0.492,735,4.36,1.565,11.1,2.36,4,28,56,53.2,0.371,0,0,0,2
0.285,0.342,0.492,735,4.95,1.519,6.9,1.95,24,63,180,160.0,0.318,0,0,1,0
0.285,0.342,0.492,735,4.95,1.519,6.9,1.95,24,63,180,160.0,0.318,0,0,1,0
0.285,0.342,0.492,735,3.75,1.25,9.8,2.17,3,12,18,24.0,0.254,0,0,0,0
0.285,0.342,0.492,735,4.95,1.519,6.9,1.95,24,63,180,160.0,0.318,1,0,1,0
0.285,0.342,0.492,735,3.58,1.069,12.9,6.33,18,33,123,146.0,0.318,0,0,0,0
0.285,0.342,0.492,735,1.5,1.833,9.0,0.75,0,8,3,6.0,0.188,0,0,1,2
0.285,0.342,0.492,735,5.29,1.429,9.3,2.6,17,25,65,63.0,0.295,0,0,1,0
0.285,0.342,0.492,735,3.58,1.069,12.9,6.33,18,33,123,146.0,0.318,1,0,0,0
0.285,0.342,0.492,735,4.32,1.46,8.5,2.04,5,23,50,50.0,0.321,0,0,1,0
0.285,0.342,0.492,735,4.32,1.46,8.5,2.04,5,23,50,50.0,0.321,0,0,1,0
0.285,0.342,0.492,735,3.75,1.25,9.8,2.17,3,12,18,24.0,0.254,0,0,0,2
0.285,0.342,0.492,735,4.32,1.46,8.5,2.04,5,23,50,50.0,0.321,0,0,1,0
0.285,0.342,0.492,735,4.08,1.324,10.6,2.74,8,34,71,79.1,0.307,1,0,1,0
0.285,0.342,0.492,735,4.38,1.231,11.1,2.53,3,19,29,39.0,0.286,0,0,0,0
0.285,0.342,0.492,735,2.87,1.404,8.6,2.14,2,7,15,15.2,0.296,1,0,0,0
0.285,0.342,0.492,735,4.08,1.324,10.6,2.74,8,34,71,79.1,0.307,0,0,1,0
0.285,0.342,0.492,735,2.78,1.296,7.4,2.12,8,50,118,129.2,0.295,0,0,0,1
0.285,0.342,0.492,735,2.78,1.296,7.4,2.12,8,50,118,129.2,0.295,0,0,0,0
0.285,0.342,0.492,735,2.86,1.081,9.6,2.15,8,39,46,78.2,0.214,0,0,1,4
0.285,0.342,0.492,735,2.78,1.296,7.4,2.12,8,50,118,129.2,0.295,1,0,0,0
0.285,0.342,0.492,735,3.94,1.247,7.9,2.76,25,62,180,194.0,0.289,0,0,1,0
0.285,0.342,0.492,735,3.94,1.247,7.9,2.76,25,62,180,194.0,0.289,1,0,1,0
0.285,0.342,0.492,735,4.38,1.231,11.1,2.53,3,19,29,39.0,0.286,0,0,0,3
0.285,0.342,0.492,735,3.94,1.247,7.9,2.76,25,62,180,194.0,0.289,0,0,1,0
