mlbID,ERA,WHIP,SO9,SO/W,HR,BB,H,IP,BAbip
691441,12.0,2.333,6.0,0.67,2,3,4,3.0,0.25
664901,0.0,2.0,0.0,,0,0,2,1.0,0.5
675650,11.08,1.923,6.9,1.11,9,9,16,13.0,0.2
657240,6.6,1.8,8.4,1.56,0,9,18,15.0,0.375
670223,81.0,10.5,0.0,,0,0,7,0.2,0.778
676974,5.68,1.421,7.3,2.42,14,19,62,57.0,0.289
571945,5.35,1.276,6.4,4.88,26,25,194,171.2,0.311
489119,6.43,1.429,2.6,0.5,1,4,6,7.0,0.238
676272,8.52,1.768,8.4,1.73,17,30,69,56.0,0.331
682243,2.94,0.976,8.5,3.8,21,45,131,180.1,0.237
669062,3.88,1.307,11.6,2.29,7,38,50,67.1,0.285
695243,2.49,0.877,14.4,4.95,6,21,36,65.0,0.256
680911,18.0,3.0,0.0,0.0,1,1,5,2.0,0.4
668943,4.15,1.615,7.6,1.38,2,8,13,13.0,0.297
571946,4.53,0.97,7.9,3.77,9,13,41,55.2,0.215
668338,2.32,0.807,7.8,4.91,7,11,39,62.0,0.204
571948,4.73,1.191,8.9,4.57,6,14,63,64.2,0.32
621345,2.62,1.019,9.2,3.18,6,11,24,34.1,0.225
664948,0.0,3.0,9.0,1.0,0,1,2,1.0,0.5
663554,4.49,1.466,6.9,2.69,11,29,121,102.1,0.331
669387,3.38,1.184,8.2,2.42,3,19,41,50.2,0.273
683627,6.79,1.575,6.2,1.86,5,22,72,59.2,0.345
594580,3.35,1.089,9.1,2.71,3,14,27,37.2,0.253
593423,4.78,1.38,8.8,2.25,24,67,146,154.1,0.288
672456,4.62,1.303,7.1,2.58,19,31,101,101.1,0.284
606160,4.7,1.409,5.4,1.21,8,19,35,38.1,0.243
656756,6.23,1.65,6.4,1.89,14,44,149,117.0,0.351
682254,1.86,1.138,15.8,3.4,0,5,6,9.2,0.4
519043,5.03,1.345,7.6,1.58,11,26,39,48.1,0.221
670970,2.89,1.316,9.9,3.13,4,23,63,65.1,0.333
669212,2.01,0.985,7.7,3.17,4,12,32,44.2,0.231
450203,4.19,1.325,9.1,2.57,23,65,154,165.1,0.307
666205,4.01,1.176,6.6,3.6,6,10,48,49.1,0.282
662253,2.12,0.961,11.7,2.96,6,26,31,59.1,0.208
682610,6.53,1.585,7.6,1.67,26,42,89,82.2,0.267
605397,3.49,1.083,9.2,4.9,14,21,88,100.2,0.288
656786,6.55,1.455,2.5,0.6,1,5,11,11.0,0.25
668964,2.9,1.147,8.3,3.67,18,36,128,143.0,0.281
667297,4.09,1.227,7.8,2.11,2,9,18,22.0,0.262
677053,5.07,1.248,12.7,3.89,7,18,44,49.2,0.327
680897,7.07,1.907,6.6,0.72,7,36,32,35.2,0.24
680891,9.0,1.667,10.5,3.5,2,2,8,6.0,0.353
669459,4.22,1.125,6.8,2.0,2,4,8,10.2,0.214
656793,5.06,1.875,13.5,4.0,0,2,8,5.1,0.533
669194,4.24,1.254,7.5,3.71,17,34,155,150.2,0.309
593576,4.05,1.4,9.9,2.28,8,29,55,60.0,0.303
656794,6.3,1.7,6.3,0.88,2,8,9,10.0,0.269
693312,3.95,1.5,9.1,1.77,4,31,51,54.2,0.315
657697,1.5,1.0,6.0,4.0,1,2,10,12.0,0.257
605400,3.66,1.204,9.0,3.94,32,52,194,204.1,0.295
673380,2.31,0.914,12.3,6.0,3,8,24,35.0,0.276
676617,11.25,2.625,12.4,1.38,2,8,13,8.0,0.458
672552,4.66,1.862,5.6,1.2,1,5,13,9.2,0.343
641927,3.98,1.002,9.6,4.44,27,43,136,178.2,0.247
595345,5.09,1.5,8.4,2.06,6,16,37,35.1,0.307
670124,5.31,1.535,7.7,1.64,7,22,43,42.1,0.295
681857,3.41,1.179,8.1,3.11,8,35,108,121.1,0.289
672391,2.55,0.811,9.5,6.5,7,4,16,24.2,0.161
656814,27.0,4.5,0.0,,0,0,3,0.2,0.75
682847,3.32,1.113,7.1,2.55,16,42,109,135.2,0.244
679358,21.6,3.0,5.4,0.5,1,2,3,1.2,0.333
671305,3.44,1.382,14.6,2.75,2,20,27,34.0,0.352
493603,4.34,1.286,11.3,3.04,6,23,49,56.0,0.312
663978,4.99,1.393,8.0,3.76,14,21,102,88.1,0.327
641941,4.5,1.342,10.4,4.0,6,11,40,38.0,0.351
694037,6.14,1.773,9.8,1.33,0,12,14,14.2,0.35
669467,3.78,1.302,7.0,1.96,8,48,110,121.1,0.287
660600,1.66,1.062,6.6,1.6,0,10,13,21.2,0.22
680730,4.29,1.305,7.9,3.09,18,43,154,151.0,0.303
641149,6.0,1.333,7.0,3.5,2,2,10,9.0,0.296
572020,4.4,1.445,6.5,1.46,12,50,95,100.1,0.278
606303,3.41,1.039,8.9,2.86,7,21,42,60.2,0.227
663878,4.48,1.327,10.0,3.52,12,21,67,66.1,0.314
665625,2.98,1.539,8.2,1.74,4,27,52,51.1,0.327
679156,3.0,1.667,8.5,1.55,1,11,19,18.0,0.34
683068,2.25,1.75,6.8,0.75,0,4,3,4.0,0.25
686752,3.6,1.154,9.8,2.96,17,48,102,130.0,0.262
642547,3.73,1.198,10.3,2.97,26,69,145,178.2,0.277
678821,0.73,0.973,10.2,2.8,0,5,7,12.1,0.259
671111,4.8,1.867,6.6,1.57,2,7,21,15.0,0.365
593974,3.96,1.19,5.6,2.18,7,11,35,38.2,0.241
640902,0.0,0.0,0.0,,0,0,0,0.1,0.0
672335,4.67,1.426,7.8,1.68,0,28,49,54.0,0.306
527048,4.53,1.482,7.1,2.18,22,49,151,135.0,0.319
656848,5.95,1.627,6.4,1.27,3,11,21,19.2,0.295
