batter,pitcher,stand,p_throws,events,description,player_AVG,player_OBP,player_SLG,player_PA,mlbID,ERA,WHIP,SO9,SO/W,HR,BB,H,IP,BAbip
680776,641154,L,R,,ball,0.285,0.342,0.492,735,641154,4.08,1.192,9.6,4.83,26,41,180,185.1,0.311
680776,641154,L,R,,foul,0.285,0.342,0.492,735,641154,4.08,1.192,9.6,4.83,26,41,180,185.1,0.311
680776,543859,L,R,field_out,hit_into_play,0.285,0.342,0.492,735,543859,3.63,1.261,9.6,2.83,6,30,70,79.1,0.303
680776,543859,L,R,,ball,0.285,0.342,0.492,735,543859,3.63,1.261,9.6,2.83,6,30,70,79.1,0.303
680776,543859,L,R,,foul,0.285,0.342,0.492,735,543859,3.63,1.261,9.6,2.83,6,30,70,79.1,0.303
680776,543859,L,R,,called_strike,0.285,0.342,0.492,735,543859,3.63,1.261,9.6,2.83,6,30,70,79.1,0.303
680776,687396,L,L,walk,ball,0.285,0.342,0.492,735,687396,3.0,1.333,15.0,2.5,1,2,2,3.0,0.2
680776,687396,L,L,,foul,0.285,0.342,0.492,735,687396,3.0,1.333,15.0,2.5,1,2,2,3.0,0.2
680776,687396,L,L,,blocked_ball,0.285,0.342,0.492,735,687396,3.0,1.333,15.0,2.5,1,2,2,3.0,0.2
680776,687396,L,L,,ball,0.285,0.342,0.492,735,687396,3.0,1.333,15.0,2.5,1,2,2,3.0,0.2
680776,687396,L,L,,swinging_strike,0.285,0.342,0.492,735,687396,3.0,1.333,15.0,2.5,1,2,2,3.0,0.2
680776,687396,L,L,,ball,0.285,0.342,0.492,735,687396,3.0,1.333,15.0,2.5,1,2,2,3.0,0.2
680776,663485,L,R,double,hit_into_play,0.285,0.342,0.492,735,663485,3.28,0.995,10.7,7.08,6,12,59,71.1,0.291
680776,663485,L,R,,foul,0.285,0.342,0.492,735,663485,3.28,0.995,10.7,7.08,6,12,59,71.1,0.291
680776,663485,L,R,,ball,0.285,0.342,0.492,735,663485,3.28,0.995,10.7,7.08,6,12,59,71.1,0.291
680776,663485,L,R,,swinging_strike,0.285,0.342,0.492,735,663485,3.28,0.995,10.7,7.08,6,12,59,71.1,0.291
680776,663485,L,R,,ball,0.285,0.342,0.492,735,663485,3.28,0.995,10.7,7.08,6,12,59,71.1,0.291
680776,641154,L,R,strikeout,swinging_strike,0.285,0.342,0.492,735,641154,4.08,1.192,9.6,4.83,26,41,180,185.1,0.311
680776,641154,L,R,,foul,0.285,0.342,0.492,735,641154,4.08,1.192,9.6,4.83,26,41,180,185.1,0.311
680776,608344,L,L,walk,ball,0.285,0.342,0.492,735,608344,5.11,1.451,6.3,2.69,18,29,132,111.0,0.317
680776,641154,L,R,,ball,0.285,0.342,0.492,735,641154,4.08,1.192,9.6,4.83,26,41,180,185.1,0.311
680776,608344,L,L,,ball,0.285,0.342,0.492,735,608344,5.11,1.451,6.3,2.69,18,29,132,111.0,0.317
680776,805673,L,R,field_out,hit_into_play,0.285,0.342,0.492,735,805673,6.69,1.646,10.3,3.91,11,11,51,37.2,0.364
680776,608344,L,L,,ball,0.285,0.342,0.492,735,608344,5.11,1.451,6.3,2.69,18,29,132,111.0,0.317
680776,805673,L,R,,ball,0.285,0.342,0.492,735,805673,6.69,1.646,10.3,3.91,11,11,51,37.2,0.364
680776,656240,L,R,field_out,hit_into_play,0.285,0.342,0.492,735,656240,1.77,1.23,8.0,2.25,2,8,17,20.1,0.268
680776,641154,L,R,,ball,0.285,0.342,0.492,735,641154,4.08,1.192,9.6,4.83,26,41,180,185.1,0.311
